system:index,band,correlation,.geo
63,HV_SR_B4_shade,0.01853260896852289,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,HV_SR_B4_prom,-0.018655304012240775,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,HV_SR_B5_asm,-0.007676077419446892,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,HV_SR_B5_contrast,-0.03832355223513705,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,HV_SR_B5_corr,-0.007342896121989371,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,HV_SR_B5_var,-0.037626817900657944,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,HV_SR_B5_idm,-0.00793048326915153,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,HV_SR_B5_savg,-0.24840329039055786,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,HV_SR_B5_svar,-0.03693212866503722,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,HV_SR_B5_sent,0.006588681621785341,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,HV_SR_B5_ent,0.006732073537904459,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,HV_SR_B5_dvar,-0.038127022039596135,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,HV_SR_B5_dent,0.005750293747361747,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,HV_SR_B5_imcorr1,-0.007871898980578627,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,HV_SR_B5_imcorr2,0.007618342717444071,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,HV_SR_B5_maxcorr,NaN,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,HV_SR_B5_diss,-0.013973470512519473,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,HV_SR_B5_inertia,-0.03832355223513705,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,HV_SR_B5_shade,0.014690500480105612,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,HV_SR_B5_prom,-0.030698543280410225,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,HV_SR_B6_asm,-0.007982842725438078,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,HV_SR_B6_contrast,-0.010069442080080348,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,HV_SR_B6_corr,-0.0049838568631754366,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,HV_SR_B6_var,-0.009409754997631872,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,HV_SR_B6_idm,-0.007846314851022477,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,HV_SR_B6_savg,-0.2443113671390912,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,HV_SR_B6_svar,-0.008796985988452258,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,HV_SR_B6_sent,0.0064438000000796285,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,HV_SR_B6_ent,0.006795853208314689,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,HV_SR_B6_dvar,-0.011972116980570414,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,HV_SR_B6_dent,0.005522214514860414,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,HV_SR_B6_imcorr1,-0.00869967357714536,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,HV_SR_B6_imcorr2,0.00814217634486094,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,HV_SR_B6_maxcorr,NaN,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,HV_SR_B6_diss,0.005442136019067405,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,HV_SR_B6_inertia,-0.010069442080080348,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,HV_SR_B6_shade,0.017959560948784474,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,HV_SR_B6_prom,-0.02353434240573942,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,HV_SR_B7_asm,-0.00816047118194515,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,HV_SR_B7_contrast,-0.03336852235501052,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,HV_SR_B7_corr,-0.005758442574341381,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,HV_SR_B7_var,-0.03273834074162156,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,HV_SR_B7_idm,-0.006858862372984697,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,HV_SR_B7_savg,-0.16774476588142997,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,HV_SR_B7_svar,-0.0321413311015321,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,HV_SR_B7_sent,0.006394435419632636,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,HV_SR_B7_ent,0.006702589729607272,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,HV_SR_B7_dvar,-0.03503798273957865,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,HV_SR_B7_dent,0.005689012021369618,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,HV_SR_B7_imcorr1,-0.009113021860206223,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,HV_SR_B7_imcorr2,0.00803293285419248,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,HV_SR_B7_maxcorr,NaN,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,HV_SR_B7_diss,-0.05242342947524128,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,HV_SR_B7_inertia,-0.03336852235501052,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,HV_SR_B7_shade,0.015116762712321475,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,HV_SR_B7_prom,-0.02097217931231201,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,HV_Blue,-0.40828716587602787,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,HV_Green,-0.4484963754020089,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,HV_Red,-0.43059147294247274,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,HV_NIR,-0.2585259694211646,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,HV_SWIR1,-0.4864083725574129,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,HV_SWIR2,-0.47036210033093667,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,HV_QA_PIXEL,-0.013544789939742037,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,HV_NDVI,0.07516381727841115,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,HV_GNDVI,0.015009358603610974,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,HV_NBR,0.3015560174042696,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,HV_NDWI,-0.015009358603610974,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,HV_NDWI1,0.3015560174042696,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,HV_MNDWI,0.3556294836302662,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,HV_SIPI,-0.009393812119561343,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,HV_NDMI,0.3015560174042696,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,HV_NDSI,-0.015009358603610974,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,HV_RECl,0.07167965371618927,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,HV_EVI,0.12100525391983737,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,HV_EVI2,0.07369368852277103,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,HV_SR,0.07167965621397639,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,HV_LAI,0.12100525391983737,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,HV_GVI,-0.1502435945368024,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,HV_RVI,0.07167965621397639,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,HV_GRVI,0.015009358603610974,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,HV_DVI,-0.0892435127551875,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,HV_SAVI,0.07515978076587104,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,HV_OSAVI,0.07516252526941532,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,HV_ARVI,0.163600660514921,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,HV_VARI,0.29987914278492617,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,HV_SLAVI,0.13960611212100105,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,HV_NDGI,0.28565893422328675,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,HV_GCVI,0.010203943062666428,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,HV_GRNDVI,-0.28565893422328675,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,HV_GBNDVI,-0.023958531955943704,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,HV_RBNDVI,0.011987290735000638,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,HV_BNDVI,-0.06100010727206802,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,HV_RGRI,0.010203936250120178,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,HH_HV,0.7797159916200719,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,HH_HH,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,HH_elevation,0.3992460563294985,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,HH_slope,0.2646380812741555,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,HH_aspect,-0.037553991924238264,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,HH_hillshade,-0.05361240598557393,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,HH_brightness,-0.43221171049846324,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,HH_greenness,-0.14464234108103566,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,HH_wetness,0.35086968772662275,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,HH_TCD,-0.4101281940067651,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,HH_TCA,0.16028752214540898,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,HH_SR_B2_asm,-0.0025060638705215366,"{""type"":""MultiPoint"",""coordinates"":[]}"
